Id;experiment_id;experiment_name;source_id;target_id;strategy;emission_mode;total_samples;latency_samples;average_latency;minimum_latency;maximum_latency;standard_deviation_of_latency
1;1768844539660;RTT - Ping Emission: SERIES - N.Pings: 1000;0a3f31673eb194e8;5CTP;P2P_STAR;SERIES;1000;[303.743616,242.384385,217.681538,235.408077,237.459077,200.68423,218.717615,206.626077,421.083,245.700846,235.170693,213.505615,216.573616,227.659,364.526385,220.325616,250.171384,238.601923,249.059154,382.349615,253.692615,219.144385,226.865231,378.980846,268.054846,225.858692,225.187077,245.481308,198.471462,260.681538,217.724077,644.814154,353.291,289.814154,221.546461,216.116231,218.813538,217.944,374.267693,221.776616,146.984077,802.236,208.371077,233.472308,221.288,232.576692,241.778769,207.827385,350.755077,236.074539,196.686153,227.262461,214.541846,259.841,216.473307,253.420923,341.025539,267.344,151.110462,279.667308,229.040615,216.003077,265.069462,243.925,628.199693,262.177461,669.229154,427.624615,567.397231,309,878.368615,678.508,646.879692,643.504846,228.725923,333.588385,242.442462,104.367077,190.387461,218.693538,386.657846,198.492615,224.291769,224.512,88.116846,341.546384,144.648693,209.639693,304.979692,323.101539,338.118384,186.144307,369.848307,322.519077,220.063692,228.836692,282.446154,363.838846,224.84123,248.724384,190.196692,77.402769,204.099,260.236307,346.095769,145.040308,178.067692,231.113846,427.301846,313.851154,242.713538,228.296923,265.033538,228.477461,225.413231,225.224077,365.583769,193.780077,126.771,337.330769,189.656231,131.845538,188.649923,217.982538,220.827077,368.201154,223.949923,217.999615,192.695077,124.487,287.417846,275.249923,160.636615,278.925538,443.959077,345.825923,322.74923,170.663384,256.569539,220.847462,142.239462,351.096077,167.320539,128.101308,308.388308,250.41323,192.513462,231.545308,206.066077,220.606462,272.471154,224.268231,237.434538,199.775693,258.108538,225.341846,281.506231,279.210769,282.495076,223.831,222.448,218.196,368.309538,274.007077,225.69723,227.497231,224.173231,212.995462,380.32223,305.466231,199.905154,217.38023,221.159616,209.826769,261.587615,198.456,208.914846,213.964615,409.653846,193.558231,217.039461,222.92277,229.624923,82.757769,190.119461,227.395,206.835615,391.990385,196.74923,214.540615,265.505538,220.152923,207.785616,207.573923,218.839769,144.579307,351.094692,227.000385,213.884615,221.505461,381.403692,236.751384,328.025923,429.196615,170.546539,375.238769,292.80223,205.869923,221.022462,213.883693,222.797539,381.970538,221.155077,218.56,306.133,196.951385,378.632615,220.532923,221.740384,226.774077,210.004,223.935308,211.581308,226.478538,221.441846,156.029154,162.953846,298.258231,314.962692,225.665538,397.211,267.581462,238.609538,239.947461,215.733615,347.357539,213.558153,231.785462,206.102231,220.115077,219.494461,209.779153,230.680308,219.219923,279,216.707615,223.069538,223.867153,250.340616,325.514769,250.513846,187.39877,622.731154,321.116846,274.707385,240.682154,327.59423,181.067385,256.464923,153.002385,327.650539,263.623461,198.295154,231.387692,209.474077,204.232923,227.910231,259.329846,343.984846,149.813231,363.118385,434.544077,202.392,236.555693,206.700231,228.518538,215.439077,224.737154,378.149231,226.089769,212.323769,220.279385,277.743462,220.466153,219.799461,216.923692,391.104846,215.200308,220.167154,165.780538,155.250846,284.297231,280.706539,126.794153,304.958154,266.649154,232.877539,223.659692,233.394539,242.048923,341.429308,219.957846,229.800923,258.344231,171.506385,219.175692,221.272923,363.334077,258.920384,260.084847,215.855,219.825538,218.889231,222.540616,273.258539,395.22,210.449461,232.107692,152.896308,275.229923,218.634077,222.950154,218.532308,371.330692,344.675769,234.397923,207.548692,224.228308,301.733,292.734231,203.822154,300.082846,222.940615,218.130385,211.319384,254.875308,202.988615,217.310769,220.755385,416.425616,231.231,234.114539,207.000923,256.006231,236.148077,328.140615,219.911692,271.69077,388.274077,220.763,269.793231,234.902384,209.337,236.963923,210.969462,248.821615,952.68523,217.903385,160.741615,342.329616,215.864539,219.203923,219.126154,221.471923,302.459461,196.968077,261.175077,337.526153,220.643769,221.331462,211.689,224.529154,220.293769,444.958846,91.774076,343.243385,301.980308,196.703385,418.272923,669.269616,644.678154,190.97877,219.581539,275.158846,502.431923,324.009307,218.931616,442.322385,217.767769,148.780384,187.198154,322.993538,222.603384,211.408923,225.406231,344.775462,131.883693,285.016615,341.438461,217.666461,217.769846,203.551461,121.414077,431.229307,406.954846,222.618769,372.59177,226.405769,216.201154,219.512,219.767308,285.922231,211.207462,235.365538,215.314077,452.62,207.598154,219.026154,351.588692,241.516692,197.552616,308.021231,265.370077,329.590154,222.732385,137.023385,373.363461,208.488307,217.960615,212.380308,387.893847,221.473615,216.568615,229.358154,213.117461,217.890154,91.779077,194.934462,214.184308,353.338692,245.768923,173.356539,291.509924,458.058462,263.963154,443.265307,322.207615,267.690154,296.496308,381.069539,277.811615,348.374462,731.286385,218.170692,468.667384,367.675154,698.381154,204.450847,237.062539,378.865539,219.401539,165.933846,198.584077,285.837846,155.008077,167.831923,396.522462,382.300923,223.742846,213.002769,221.171077,270.993769,238.814769,226.490769,209.066462,374.061001,195.423,249.931769,216.043462,256.092,241.026769,273.389308,194.435385,352.722153,221.974076,219.388308,258.197308,253.861,209.884846,221.743616,216.966462,230.255308,367.259307,218.961461,224.648923,219.499692,340.228923,319.081769,316.095616,232.864077,175.021231,216.535692,215.639077,228.081154,208.761846,222.674769,233.400308,503.078384,309.309616,284.505154,229.161538,373.037153,156.285538,152.637231,560.213231,270.066847,248.471923,365.118153,220.10977,190.116538,247.732923,262.860615,231.963308,230.072923,207.219077,387.201615,122.576538,204.251692,309.869847,234.295693,242.329231,205.896538,219.668,303.911462,197.783462,222.948077,256.497231,320.440615,241.840308,230.128616,221.156692,401.534538,243.514846,213.652385,205.038461,301.297308,226.800308,221.878461,209.768231,290.762462,315.332385,213.884846,228.809539,233.064616,200.739,172.917308,337.588538,368.148692,219.884616,219.912307,480.350153,222.165,611.385153,283.095615,213.735692,230.429538,218.565461,363.318846,351.40977,201.526693,342.723384,222.841923,259.910769,254.825,635.414077,409.613615,235.685769,433.755307,186.618692,476.234769,213.869846,913.889923,346.914692,127.633154,1333.655692,166.325308,236.892,215.343615,353.847385,270.586154,253.617231,238.104231,396.629538,176.609538,219.179077,221.351,284.718461,376.963462,215.668692,504.927385,226.660384,223.309154,217.431,369.241461,219.635077,220.484,353.304231,307.283923,219.041616,220.206769,218.356231,220.629923,219.545307,225.980923,630.026231,124.664923,188.311693,207.518462,230.616308,216.028616,226.147615,371.071308,295.335385,208.975385,224.331,217.186154,373.752077,157.402385,282.773538,128.075154,343.811385,416.457539,212.637923,266.025539,244.595385,212.888384,236.31323,296.326462,278.097231,200.336385,242.874385,343.61323,331.215308,204.820538,229.798539,224.088308,134.712307,296.604385,212.506461,200.478692,260.323154,181.656076,239.092308,220.123615,219.661154,221.169154,221.492,254.050077,404.229462,96.168692,300.505231,273.222847,273.843385,207.370769,239.394461,209.677154,380.671769,231.051384,216.583462,211.883461,192.980615,249.297231,220.599616,216.098384,223.860846,276.242769,219.086692,220.776615,214.783461,385.142769,219.439462,138.379693,309.660923,368.67777,284.495385,241.910461,214.413923,210.570693,302.02,395.796923,421.942154,224.379077,413.455769,222.149154,212.253462,221.151001,221.703384,402.970154,333.079693,240.12423,368.213,263.206154,380.347077,214.059384,295.820615,217.296616,361.976385,264.541154,222.502077,174.022231,215.541615,232.605308,287.545539,209.170077,238.180308,211.449461,294.356615,289.377462,217.497538,228.771153,230.94,201.845846,218.936,271.169846,339.624384,269.572385,229.967077,264.460923,237.425615,218.689769,208.232077,230.534769,371.037461,217.616231,223.468692,170.47723,272.270231,223.407384,129.775769,302.189231,218.846154,290.841,219.389846,229.942231,211.685538,250.776846,218.094692,205.179692,374.648,231.184385,188.064,222.794462,220.911077,261.592077,240.170154,228.788,220.110077,365.697231,221.291308,308.669231,454.191923,341.411001,213.860616,219.749,253.313538,233.798769,1458.103693,607.507384,205.842461,278.811692,210.852615,392.576615,543.235692,341.289461,842.078154,578.630462,555.084077,217.840846,215.597,309.100384,235.38,354.04,204.523923,283.407385,223.175154,209.011769,223.205307,437.633846,237.195,245.08677,340.928,132.960308,171.257154,371.997539,273.052616,209.938077,226.857615,237.459692,192.134154,244.406154,196.650077,213.227077,236.104077,443.475616,159.205307,225.340846,208.318385,226.247923,210.033154,220.937846,222.026462,135.600923,359.516,219.707693,240.257538,210.275615,371.714539,219.132077,222.150077,219.705308,294.517308,208.530461,234.397846,220.056,228.427,254.497231,379.827385,328.543384,152.378461,216.131385,360.952615,254.350462,234.82923,210.503,223.477769,380.389538,225.808077,94.738154,335.248923,427.028,116.093539,171.720846,220.903384,228.945231,211.98623,232.86,219.875077,205.224,385.73377,217.138076,223.963077,274.565923,216.873769,225.906846,215.509231,230.281154,373.034769,228.365538,215.075769,216.939923,228.003616,220.771,213.815077,216.586154,227.808615,266.097539,227.999,268.365769,210.478077,340.086769,219.929538,220.434461,428.471154,111.459461,344.075077,165.745847,312.376615,44.462769,359.711923,213.763769,217.804923,230.292,211.343077,222.954769,219.852923,283.316616,205.338461,221.998385,258.080307,347.39577,130.92577,188.457461,342.025538,343.948846,332.232385,1255.612846,465.140923,358.118154,213.250231,217.057307,228.757616,212.737231,220.306846,231.937539,304.037,344.438384,222.033847,217.472539,264.062462,235.145154,220.630385,215.157539,384.100846,257.457615,194.446846,211.522462,218.905,219.795385,220.368231,217.241539,217.754538,443.236616,222.033231,219.911,289.006462,203.487077,230.337153,225.854385,387.516308,520.25323,229.680307,335.806769,222.875769,211.856692,210.230231,237.509231,196.518846,117.286461,337.464923,285.998769,202.85777,230.668616,225.373615,206.328308,387.847154,222.730077,218.228384,193.53177,246.573308,221.253539,286.671616,212.522462,176.560538,84.980846,198.803308,217.331923,332.318461,305.794539,214.684,231.373539,217.069307,387.373231,211.217923,227.807077,206.992692,298.974384,200.055154,224.379385,233.737616,236.381615,236.964,337.476539,221.741231,263.138231,160.417539,246.599923,206.261,159.539462,282.491154,215.146462,222.782769,224.943077,289.780077,197.253846,228.370231,231.08,317.355154,339.810153,222.191384,210.897539,211.578231,229.463692,213.843076,234.777846,367.987077,219.810539,219.798769,276.050077,225.938769,222.056077];265.6041396829999;44.462769;1458.103693;114.52982549308226
2;1768844813809;RTT - Ping Emission: SERIES - N.Pings: 100;0a3f31673eb194e8;5CTP;P2P_STAR;SERIES;100;[495.165231,238.214385,223.979077,305.032,144.097231,220.895693,241.828538,356.013539,239.084538,201.030538,220.602846,218.966769,749.102462,188.813539,244.472923,194.548615,218.366461,227.313616,378.961231,229.483615,209.473308,155.386231,409.19077,316.274077,226.293231,211.949,274.613539,249.182154,203.790077,222.198462,252.456385,198.661154,210.734154,271.877539,260.081539,96.956,291.934461,146.089538,123.358769,354.223308,225.320539,153.176615,241.072538,136.148077,359.598769,223.923308,127.082077,187.904,134.529616,244.688923,143.225,133.209307,199.576615,128.041154,229.159153,203.791384,208.81177,125.724616,265.877539,139.326385,261.839692,132.140846,229.101,140.650231,199.631693,299.083693,122.629539,124.316076,199.864308,143.011154,174.041769,208.928616,191.677846,155.876615,200.563307,115.718154,122.613616,246.933847,134.67077,203.654461,124.273,255.185923,198.905,182.893308,120.414385,192.861846,118.001847,126.067692,351.855,212.160307,208.459461,205.219615,110.856846,210.553461,190.333231,177.235385,145.368615,250.107693,242.584384,186.896539];214.48064698999994;96.956;749.102462;88.40472177086487
3;1768844896712;RTT - Ping Emission: SERIES - N.Pings: 10;0a3f31673eb194e8;5CTP;P2P_STAR;SERIES;10;[212.921308,206.469924,95.706461,183.378077,226.096846,119.788923,196.20377,187.211385,189.345308,145.921];176.3043002;95.706461;226.096846;40.09772039821656
4;1768844901909;RTT - Ping Emission: SERIES - N.Pings: 10;0a3f31673eb194e8;5CTP;P2P_STAR;SERIES;10;[372.621231,236.161615,126.558154,205.219077,125.271615,283.938077,127.303077,233.393,126.402462,222.204308];205.90726160000003;125.271615;372.621231;78.17751221107594
5;1768844907308;RTT - Ping Emission: SERIES - N.Pings: 10;0a3f31673eb194e8;5CTP;P2P_STAR;SERIES;10;[278.704,178.542462,134.107384,127.054693,268.172538,234.217923,184.049539,194.98123,225.534154,193.622769];201.89866920000003;127.054693;278.704;48.03350841683619
6;1768844912090;RTT - Ping Emission: SERIES - N.Pings: 1;0a3f31673eb194e8;5CTP;P2P_STAR;SERIES;1;[256.283];256.283;256.283;256.283;0.0
7;1768844915989;RTT - Ping Emission: SERIES - N.Pings: 1;0a3f31673eb194e8;5CTP;P2P_STAR;SERIES;1;[269.321616];269.321616;269.321616;269.321616;0.0
8;1768844918039;RTT - Ping Emission: SERIES - N.Pings: 1;0a3f31673eb194e8;5CTP;P2P_STAR;SERIES;1;[164.705308];164.705308;164.705308;164.705308;0.0
9;1768844922869;RTT - Ping Emission: SERIES - N.Pings: 1;0a3f31673eb194e8;5CTP;P2P_STAR;SERIES;1;[478.836231];478.836231;478.836231;478.836231;0.0
10;1768844926301;RTT - Ping Emission: SERIES - N.Pings: 1;0a3f31673eb194e8;5CTP;P2P_STAR;SERIES;1;[193.407693];193.407693;193.407693;193.407693;0.0
